Name,Price,Rating
Prestige PKCS 1.2 Electric Kettle,₹850,4.2
"Butterfly Rapid 750 W Juicer Mixer Grinder (4 Jars, Bla...","₹3,198",4.1
Pozet Pozet 2 layer Double Layer Egg Boiler and Steamer...,₹399,4.6
green kivvi MO-18-SS Stainless Steel Electric Kettle & ...,"₹1,499",4
FADMAN 50KG PORTABLE HANGING LUGGAGE WEIGHT MACHINE DIG...,₹269,4
Panasonic 20 L Solo Microwave Oven,"₹5,090",4.3
Kenstar KTG02KGPR0-DBM Grill,"₹1,000",4.1
Candes Hector Nutri Blender 400 Juicer Mixer Grinder (2...,"₹1,299",4.3
BAJAJ 17 L Solo Microwave Oven,"₹4,560",4.3
Panasonic 20 L Solo Microwave Oven,"₹5,690",4.3
Butterfly Electric Kettle 1.5 Ltr with Chopper,"₹2,199",4.2
Golden Bucket Double Layer Electric Egg Boiler NY-EGG E...,₹395,4
MAHARAJA WHITELINE MX-225 Infinimax Elite 750 W Mixer G...,"₹3,575",4.3
Elica WDFL 606 HAC MS NERO Auto Clean Wall Mounted Chim...,"₹11,990",4.1
"Sansui Melange ProHome 500 W Mixer Grinder (3 Jars, Gre...","₹1,798",4.1
Butterfly MIXER GRINDER WAVE PLUS - 550 W 550 Mixer Gri...,"₹2,149",4.1
"V-Guard AG 754 Plus 750 Mixer Grinder (4 Jars, Blue-Whi...","₹2,999",4.2
Natraj Aatamaker Viva Atta Chakki Fully Automatic Domes...,"₹16,990",4.1
"Royatto Electric Egg Boiler,Egg Cooker Egg Cooker",₹302,4.2
"Miraaz Fast Boiling Tea Kettle Cordless, Stainless Stee...",₹644,4.8
ORPAT HHB-100E 250 W Hand Blender,₹774,4.2
varada Air Fryer Over 12Liter Air Fryer,"₹9,999",5
eWAVE Weighing_Scale_Capacity_50Kg_Kata Weighing Scale,₹230,4
HOTFIX Coffee Beater Hand Blender For Latte Coffee Hot ...,₹169,3.6
Flipkart SmartBuy Voltron Induction Cooktop,"₹1,448",3.8
varada VA-AFD6.5L BLACK Air Fryer,"₹5,899",4.5
